#1 : frequency[Hz] = 3.00000e+09
  No.  No.     X[m]        Y[m]        Z[m]      E[V/m]     Ex[V/m]   Ex[deg]   Ey[V/m]   Ey[deg]   Ez[V/m]   Ez[deg]
    5   26  -1.000e-01   1.100e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   27  -1.000e-01   1.200e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   28  -1.000e-01   1.300e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   29  -1.000e-01   1.400e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    5   30  -1.000e-01   1.500e-01   0.000e+00  1.000e+00  6.123e-17  179.751  0.000e+00  180.000  1.000e+00   -0.249
    6    0  -9.000e-02  -1.500e-01   0.000e+00  1.000e+00  6.123e-17 -144.224  0.000e+00 -180.000  1.000e+00   35.776
    6    1  -9.000e-02  -1.400e-01   0.000e+00  1.000e+00  6.123e-17 -144.224  0.000e+00 -180.000  1.000e+00   35.776
    6    2  -9.000e-02  -1.300e-01   0.000e+00  1.000e+00  6.123e-17 -144.224  0.000e+00 -180.000  1.000e+00   35.776
    6    3  -9.000e-02  -1.200e-01   0.000e+00  1.000e+00  6.123e-17 -144.224  0.000e+00 -180.000  1.000e+00   35.776
    6    4  -9.000e-02  -1.100e-01   0.000e+00  1.000e+00  6.123e-17 -144.224  0.000e+00 -180.000  1.000e+00   35.776
    6    5  -9.000e-02  -1.000e-01   0.000e+00  1.000e+00  6.123e-17 -144.224  0.000e+00 -180.000  1.000e+00   35.776
    6    6  -9.000e-02  -9.000e-02   0.000e+00  1.000e+00  6.123e-17 -144.224  0.000e+00 -180.000  1.000e+00   35.776
    6    7  -9.000e-02  -8.000e-02   0.000e+00  1.000e+00  6.123e-17 -144.224  0.000e+00 -180.000  1.000e+00   35.776
